grant_title,language,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
upb , C ,1, https://github.com/google/upb ,5265,low,02-04-2010,2,4,2010
truth , Java ,1, https://github.com/google/truth ,10984,medium,08-03-2009,8,3,2009
ruby-openid-apps-discovery , Ruby ,3, https://github.com/google/ruby-openid-apps-discovery ,272,high,11-12-2009,11,12,2009
signet , Ruby ,4, https://github.com/google/signet ,581,low,03-11-2010,3,11,2010
autoparse , Ruby ,5, https://github.com/google/autoparse ,231,medium,10-12-2009,10,12,2009
gitkit-ruby , None ,6, https://github.com/google/gitkit-ruby ,48,high,6/30/2009,6,30,2009
google-api-ruby-client , Ruby ,7, https://github.com/google/google-api-ruby-client ,15620,low,9/24/2009,9,24,2009
anvil-build , Python ,8, https://github.com/google/anvil-build ,452,medium,10/29/2009,10,29,2009
googletv-android-samples , Java ,9, https://github.com/google/googletv-android-samples ,23610,high,11/16/2009,11,16,2009
ChannelPlate , JavaScript ,10, https://github.com/google/ChannelPlate ,185,low,10/28/2009,10,28,2009
GL-Shader-Validator , Python ,11, https://github.com/google/GL-Shader-Validator ,922,medium,11-02-2009,11,2,2009
qpp , JavaScript ,12, https://github.com/google/qpp ,18252,high,11-02-2009,11,2,2009
CSP-Validator , Python ,13, https://github.com/google/CSP-Validator ,102,low,11-02-2009,11,2,2009
embed-dart-vm , C++ ,14, https://github.com/google/embed-dart-vm ,107,medium,11-02-2009,11,2,2009
module-server , JavaScript ,15, https://github.com/google/module-server ,13872,high,10/28/2009,10,28,2009
cxx-std-draft , TeX ,16, https://github.com/google/cxx-std-draft ,84465,low,11-10-2009,11,10,2009
filesystem-proposal , C++ ,17, https://github.com/google/filesystem-proposal ,711,medium,11/13/2009,11,13,2009
libcxx , C++ ,18, https://github.com/google/libcxx ,6647,high,11-01-2009,11,1,2009
tracing-framework , JavaScript ,19, https://github.com/google/tracing-framework ,35625,low,3/24/2010,3,24,2010
namebench , CSS ,20, https://github.com/google/namebench ,26640,medium,10/29/2009,10,29,2009
devtoolsExtended , JavaScript ,21, https://github.com/google/devtoolsExtended ,20189,high,11-04-2009,11,4,2009
sirius ,Java,22, https://github.com/google/sirius ,60,low,10-01-2008,10,1,2008
testRunner , JavaScript ,23, https://github.com/google/testRunner ,483,medium,10/30/2009,10,30,2009
crx2app , JavaScript ,24, https://github.com/google/crx2app ,297,high,1/28/2010,1,28,2010
episodes.dart , Dart ,25, https://github.com/google/episodes.dart ,191,low,11/17/2009,11,17,2009
cpp-netlib , C++ ,26, https://github.com/google/cpp-netlib ,8937,medium,5/13/2009,5,13,2009
dagger , Java ,27, https://github.com/google/dagger ,16338,high,03-01-2008,3,1,2008
ios-webkit-debug-proxy , C ,28, https://github.com/google/ios-webkit-debug-proxy ,746,low,10-01-2009,10,1,2009
google.github.io ,Java,29, https://github.com/google/google.github.io ,116,medium,4/30/2010,4,30,2010
kratu , JavaScript ,30, https://github.com/google/kratu ,1777,high,3/18/2010,3,18,2010
acai , Java ,31, https://github.com/google/acai ,72,low,,,,2008
access-bridge-explorer , C# ,32, https://github.com/google/access-bridge-explorer ,716,medium,,,,2009
Accessibility-Test-Framework-for-Android , Java ,33, https://github.com/google/Accessibility-Test-Framework-for-Android ,228,high,,,,2010
account-provisioning-for-google-apps , Java ,34, https://github.com/google/account-provisioning-for-google-apps ,15035,low,,,,2009
acme , Go ,35, https://github.com/google/acme ,170,medium,,,,2009
adb-sync , Python ,36, https://github.com/google/adb-sync ,36,high,,,,2008
addlicense , Go ,37, https://github.com/google/addlicense ,15,low,,,,2009
aff4 , Shell ,38, https://github.com/google/aff4 ,1817,medium,,,,2010
agata , JavaScript ,39, https://github.com/google/agata ,62,high,,,,2010
agera , Java ,40, https://github.com/google/agera ,1063,low,,,,2008
allocation-instrumenter , Java ,41, https://github.com/google/allocation-instrumenter ,4621,medium,,,,2009
amphtml , JavaScript ,42, https://github.com/google/amphtml ,185652,high,,,,2010
androguard , Python ,43, https://github.com/google/androguard ,40166,low,,,,2009
android-arscblamer , Java ,44, https://github.com/google/android-arscblamer ,3641,medium,,,,2009
android-classyshark , Java ,45, https://github.com/google/android-classyshark ,14231,high,,,,2008
android-gradle-dsl , HTML ,46, https://github.com/google/android-gradle-dsl ,1041,low,,,,2009
android-studio-check , Java ,47, https://github.com/google/android-studio-check ,200,medium,,,,2010
android-testing-support-library ,Java,48, https://github.com/google/android-testing-support-library ,1181,high,,,,2010
android-ui-toolkit-demos , Java ,49, https://github.com/google/android-ui-toolkit-demos ,343,low,,,,2008
angle , C++ ,50, https://github.com/google/angle ,84024,medium,,,,2009
angular_node_bind.dart , Dart ,51, https://github.com/google/angular_node_bind.dart ,235,high,,,,2010
anodyne , C++ ,52, https://github.com/google/anodyne ,388,low,,,,2009
ansicolor-dart , Dart ,53, https://github.com/google/ansicolor-dart ,283,medium,,,,2009
anvil-build , Python ,54, https://github.com/google/anvil-build ,452,high,,,,2008
apis-client-generator , Python ,55, https://github.com/google/apis-client-generator ,970,low,,,,2009
apitools , Python ,56, https://github.com/google/apitools ,1169,medium,,,,2010
appengine-codiad , JavaScript ,57, https://github.com/google/appengine-codiad ,7349,high,,,,2010
appengine-jenkins , Shell ,58, https://github.com/google/appengine-jenkins ,104,low,,,,2008
appengine-phabricator , Shell ,59, https://github.com/google/appengine-phabricator ,141,medium,,,,2008
appengine_xblock_runtime , Python ,60, https://github.com/google/appengine_xblock_runtime ,448,high,,,,2008
